Process,Cluster_KMeans,WCS,EDS,CTDS,Processing_Intensity
splutter,1,0.5128205128205128,0.9451971505526484,0.9724715414791582,0.8117861530160569
deflate,3,0.4102564102564102,0.9028687106594044,0.9217713100640296,0.746733535323989
stream,7,0.32051282051282043,0.9100016850554904,0.9884921916760422,0.742157132007397
crimp,6,0.21794871794871779,1.0,0.9999999999999999,0.7419230769230769
floured,3,0.42307692307692296,0.846296356553935,0.8832341526290827,0.7191927941720713
punch,3,0.21794871794871779,0.9055842088428305,0.9459996592638548,0.6924057499909215
devein,6,0.30769230769230765,0.8339507689172949,0.8399994957919036,0.6623420438504162
select,5,0.30769230769230765,0.7876406722489449,0.8809677894825646,0.6609889318046853
sterilize,5,0.6923076923076921,0.6054033908228598,0.6707756210476371,0.6563083685892788
overmix,7,0.42307692307692296,0.717632128669325,0.7702117463927428,0.6383059808497944
invert,4,0.32051282051282043,0.7702896485119706,0.7846942978233259,0.6267608760381118
pressure,5,0.5128205128205128,0.6479329020547142,0.7124625742232505,0.6252859021447301
thread,4,0.32051282051282043,0.746322944586256,0.7901711390513125,0.6207139897601415
scramble,1,0.5256410256410255,0.6613642909669588,0.6612983361646615,0.6165531887766198
knead,3,0.21794871794871779,0.7866483285467696,0.8215522328263997,0.6108447845044868
steep,0,0.205128205128205,0.7862807029892269,0.8051783629877568,0.6009255830945899
absorbed,0,0.5128205128205128,0.6157585217644117,0.6653289609742415,0.5986429281442672
rise,3,0.19230769230769224,0.7811406534513896,0.8143006224860535,0.5981001657457552
smoking,1,0.42307692307692296,0.6676276954733922,0.6979052476365039,0.5972203083180154
marinate,4,0.5128205128205128,0.6229617717850731,0.6285515862075776,0.5885156932304197
frost,7,0.21794871794871779,0.7359470390368823,0.8022367124655764,0.587546082043544
foam,0,0.11538461538461536,0.7787845425271944,0.8410583626561535,0.5810356654139894
crockpot,5,0.5128205128205128,0.5546700616806142,0.6466303179964564,0.5721261977041672
caramelize,1,0.7948717948717947,0.44490747866764346,0.4726596628437153,0.5698314456348779
refrigerate,7,0.8141025641025641,0.4248094972081089,0.4539345433587735,0.5631787249745052
grease,3,0.30769230769230765,0.6531087367996142,0.7152980681178568,0.5602656878424056
evaporated,0,0.7948717948717947,0.42273240333566275,0.4587498869997514,0.5577843469883764
overcook,5,0.5064102564102564,0.541156231140216,0.6053241361974148,0.5515071471987769
massage,6,0.4102564102564102,0.6130382458396137,0.6277494424084548,0.5511220469305625
charred,4,0.4102564102564102,0.5948242024893791,0.6349956399158473,0.5475751197774986
evaporate,0,0.6153846153846152,0.4980788525906694,0.528954457603331,0.5472874600169765
condensed,7,0.6153846153846152,0.48953038752840583,0.5324362160578185,0.5456502644209553
griddle,4,0.4102564102564102,0.5768634438191655,0.6399449580662672,0.5433308375874709
presentation,2,1.0,0.2566582766494726,0.3718117945732372,0.5411132414492267
dredge,6,0.30769230769230765,0.6561015448789269,0.6468935148236398,0.537995766388545
barbecue,4,0.5128205128205128,0.525853104495482,0.5731061976907347,0.537618400929128
curdle,0,0.32051282051282043,0.6208259866298749,0.6625214876958997,0.5358991121736953
dollop,2,0.30769230769230765,0.5973437193945448,0.6888885589051025,0.5328839989663962
scorching,0,0.6153846153846152,0.4663743641339275,0.5120546272058276,0.5310790364911004
tilt,4,0.10256410256410248,0.7277833057182561,0.7541546826613804,0.5304272368380477
muddle,7,0.30769230769230765,0.6113785518956785,0.6585490346786033,0.5272000554547606
deglaze,0,0.4102564102564102,0.5678336855575286,0.6002285058049245,0.5268474235922741
freezing,5,0.5128205128205128,0.4779399804599196,0.5823028364977664,0.5249339271917832
parboil,5,0.42307692307692296,0.5541768361677635,0.5906726858914363,0.5233224537538349
baste,4,0.21794871794871779,0.6518955775851167,0.6887644749427139,0.5212285390066881
scrub,6,0.21794871794871779,0.6502403663572605,0.684602419671197,0.5192672205091798
defrost,5,0.42307692307692296,0.5491401259307624,0.576541501964967,0.516855736840625
rising,3,0.30769230769230765,0.5743279931189711,0.6603964075693703,0.5156014778413079
preheat,4,0.4102564102564102,0.5424531204390781,0.5768009109378064,0.5105064548483653
roux,0,0.11538461538461536,0.6722235997849308,0.7350353651239675,0.5098227351480993
store,7,0.21794871794871779,0.6054797463467001,0.6976021077019651,0.5089161098361561
tie,6,0.012820512820512775,0.7097192716424003,0.7888913580879212,0.5066611906226546
slit,6,0.11538461538461536,0.6681728914719267,0.7238803203849461,0.5046932861935406
distribute,2,0.7179487179487176,0.3960389328657894,0.39707424397314994,0.5026211677196584
bubbling,0,0.5064102564102564,0.47128438684268414,0.5262535075304718,0.5015654248338308
blanch,5,0.32051282051282043,0.5787515492884208,0.5996189430866624,0.5006276826838749
flavoring,7,0.628205128205128,0.39256726698426636,0.4797552684194929,0.49997168167512773
pierce,6,0.30769230769230765,0.5888776045793733,0.5999116539951127,0.49983803340799304
decorate,2,0.5128205128205128,0.455364897846412,0.529238891181509,0.4994424085217982
insert,6,0.32051282051282043,0.5612881580947255,0.6093039460355788,0.4981576645925869
broil,4,0.21794871794871779,0.6112943441704046,0.6580646063690002,0.4973921766647704
unmold,4,0.32051282051282043,0.5611958560529178,0.602804889168031,0.4959175255838242
grate,4,0.21794871794871779,0.6175594810594545,0.6470236192814808,0.4957057362284003
prick,6,0.21794871794871779,0.6287038767306585,0.634582202883771,0.4951533052246764
dressing,2,0.5128205128205128,0.4569912737123798,0.5066594626210487,0.49230210684701114
shred,5,0.21794871794871779,0.6198851413577016,0.6327807747809587,0.4916306369966444
ice,7,0.012820512820512775,0.6801873677845989,0.7653929753934293,0.4889262122334528
flatten,3,0.4102564102564102,0.523009773173637,0.5279978796258643,0.48749711960470943
sizzle,1,0.30769230769230765,0.5707999746695454,0.5808919779227465,0.48740572567314533
sear,4,0.11538461538461536,0.6641356351967871,0.6744373835993974,0.48655039311565795
caramelized,4,0.8205128205128203,0.2898006344140629,0.3360622908201718,0.4806646190047299
unroll,3,0.30769230769230765,0.5526958491176552,0.5752904700192859,0.479526851553845
sweeten,7,0.4038461538461538,0.49623707587032717,0.5361632872954211,0.47932298348688185
flake,5,0.21794871794871779,0.5939407774179981,0.6128935919622832,0.4763073547381926
tuck,6,0.11538461538461536,0.6570700449595275,0.6492957361215336,0.4756705881948886
stop,1,0.11538461538461536,0.6232080567894838,0.6713914764978987,0.4720086838267383
settle,0,0.30769230769230765,0.5324673100360406,0.5711157617412851,0.4714320328423919
moisten,2,0.42307692307692296,0.4929358120353817,0.4923598467131868,0.4696865504695441
rotate,4,0.30769230769230765,0.5210662987283625,0.5748850855129616,0.46895126919322816
crumble,5,0.42307692307692296,0.47232752917917264,0.5047968819760268,0.4671144091163607
snap,5,0.11538461538461536,0.6039319765066127,0.6742831116826477,0.46663073329620547
skim,0,0.11538461538461536,0.6197559988320394,0.6583283182355356,0.4664280308915782
soak,5,0.11538461538461536,0.6198289613714631,0.6525320854943372,0.46448138939758055
sieve,7,0.205128205128205,0.5627242386490552,0.6112600405267311,0.46121972022558444
stretch,3,0.4102564102564102,0.4694498595986232,0.4958751458284235,0.4589006186338251
drip,4,0.11538461538461536,0.6333064944628568,0.6173447827343944,0.4569652923793599
