Process,Embedding,KMeans,Agglo_or_MBK,DBSCAN,GMM
absorbed,"[-0.03440061956644058, 0.18490315973758698, -0.16907697916030884, -0.13010713458061218, 0.9889229536056519, -0.37363696098327637, 0.272769570350647, 0.5556679964065552, 0.24520273506641388, -0.4544568657875061, 0.2429608702659607, 0.6544231176376343, 0.43828481435775757, -0.021156689152121544, 0.030847394838929176, -0.18324847519397736, 0.22982437908649445, -0.15244990587234497, -0.5364781618118286, -0.3012789785861969, -0.7145267724990845, -0.016498278826475143, 0.07591092586517334, -0.2664664089679718, 0.28921303153038025, 0.12275142222642899, 0.24190129339694977, 0.10321155190467834, 0.26777300238609314, 0.7938671112060547, -0.048215679824352264, -0.03666800633072853, 1.0732483863830566, 0.21806737780570984, -0.23457995057106018, -0.04296004772186279, 0.01982106640934944, -0.2740316689014435, -0.46516963839530945, 0.10741021484136581, -0.40175533294677734, -0.07144306600093842, 0.2287263572216034, -0.08210758119821548, -0.38605231046676636, 0.4662624001502991, 0.0013571870513260365, -0.440197229385376, 0.2787512242794037, 0.1635230928659439, 0.5861163139343262, -0.09162866324186325, 0.4179717004299164, -0.6269599199295044, 0.09494992345571518, 0.4982607364654541, 0.5128061175346375, 0.10041680932044983, 0.24053336679935455, -0.2523934245109558, 0.8084183931350708, -0.3149344027042389, 0.22763074934482574, 0.372454434633255, -0.40945562720298767, -0.11635653674602509, 0.2733168601989746, -0.09201443940401077, -0.5168287754058838, -0.23060832917690277, -0.3593817353248596, -0.2211025208234787, 0.26296883821487427, -1.159467101097107, -0.12445928901433945, -0.9234744310379028, 0.08816792070865631, -0.03576945886015892, -0.05740899220108986, 0.21386028826236725, -0.14592665433883667, -0.5044482946395874, -0.06363776326179504, 0.24786508083343506, -0.13542769849300385, 0.47657299041748047, 0.09640513360500336, -0.07285059988498688, 0.30065983533859253, -0.4517596364021301, 0.3649576008319855, 0.36798545718193054, -0.3195328712463379, 0.21667230129241943, 0.17672008275985718, 0.49925661087036133, 0.028982309624552727, -0.1213076040148735, 0.17095288634300232, 0.5932885408401489]",0,0,-1,0
add,"[-0.1800650805234909, 0.4741104245185852, -0.28758665919303894, 0.37510228157043457, 0.21410895884037018, 0.1097702831029892, -0.2065613716840744, 0.14772191643714905, -0.2192060649394989, -0.5439233183860779, 0.01589028909802437, 0.027482520788908005, 0.023711230605840683, 0.03861590474843979, -0.24672670662403107, 0.3360179364681244, -0.150476336479187, -0.2357790470123291, -0.19012993574142456, -0.3623393476009369, 0.09769224375486374, 0.3452599048614502, -0.1200951635837555, 0.057211533188819885, 0.09211982041597366, -0.05915297195315361, -0.10443993657827377, -0.17117251455783844, 0.24358896911144257, 0.1849764585494995, 0.2525135576725006, -0.449873149394989, 0.35503047704696655, 0.19301100075244904, 0.08398351818323135, -0.014669738709926605, 0.11596684157848358, 0.005150616634637117, 0.03312605991959572, -0.12839405238628387, -0.04826073348522186, 0.2169862985610962, 0.20269417762756348, 0.04774323105812073, -0.15859223902225494, -0.017455652356147766, -0.1971828192472458, 0.07653696835041046, -0.017703186720609665, -0.2681581377983093, 0.18894006311893463, 0.06435324251651764, 0.04009956121444702, 0.26457881927490234, -0.03605828806757927, 0.3660511374473572, 0.25095346570014954, 0.1693938821554184, -0.20042090117931366, -0.32258111238479614, 0.1820751577615738, -0.1895923614501953, 0.13065311312675476, 0.03764314204454422, -0.2904471755027771, 0.17704500257968903, 0.2923658490180969, -0.2129339873790741, 0.05543901026248932, 0.16913524270057678, -0.013347936794161797, -0.12703177332878113, 0.26249265670776367, -0.46098533272743225, -0.11278646439313889, -0.3346203863620758, -0.1330505758523941, 0.010348254814743996, -0.016329485923051834, 0.25924205780029297, 0.015154584310948849, 0.24131786823272705, -0.40690699219703674, -0.019376438111066818, 0.20564700663089752, 0.09913212060928345, -0.20332768559455872, -0.13472965359687805, 0.11952538788318634, -0.2090107500553131, -0.04122117906808853, -0.17321465909481049, -0.004233495332300663, 0.13067923486232758, 0.06796452403068542, 0.007264439016580582, 0.15207919478416443, 0.31189292669296265, -0.20707811415195465, -0.24073433876037598]",5,2,-1,5
arrange,"[0.5736325979232788, -0.5483927726745605, -0.7183312177658081, -0.02921208180487156, 0.05049630254507065, -0.21493583917617798, 0.33425822854042053, 0.09649888426065445, 0.35604366660118103, -0.24485163390636444, -0.1937616467475891, 0.03541146591305733, -0.16550137102603912, 0.05510447546839714, 0.36401599645614624, 0.2570284903049469, 0.1398235261440277, -0.3927062451839447, 0.09803815186023712, 0.05014689266681671, -0.2161363959312439, 0.45762351155281067, 0.011231353506445885, 0.09082314372062683, 0.01930733025074005, 0.14486368000507355, -0.8023273944854736, 0.09943217039108276, 0.21634694933891296, -0.04521926864981651, 0.6170889735221863, 0.3258175849914551, 0.28440621495246887, 0.1328914910554886, -0.2215312123298645, -0.13905341923236847, -0.5317644476890564, 0.03727881982922554, 0.14427432417869568, -0.31716471910476685, 0.21234114468097687, -0.26196062564849854, 0.07310275733470917, -0.0010350027587264776, 0.17304950952529907, 0.1485135555267334, 0.193400040268898, -0.2887880206108093, 0.36086392402648926, -0.24149246513843536, 0.2694168984889984, -0.3944258391857147, -0.3345547914505005, 0.5779918432235718, 0.08484713733196259, -0.2772165834903717, 0.2822728753089905, 0.19244080781936646, -0.44925278425216675, -0.05927455052733421, 0.10185345262289047, 0.09780281782150269, 0.4186738133430481, 0.30734682083129883, -0.2578204274177551, -0.3924730718135834, 0.11017344146966934, -0.01737174391746521, 0.27151045203208923, 0.6194798350334167, 0.05898994952440262, 0.12486583739519119, 0.1636815071105957, -0.08148742467164993, -0.5124397277832031, -0.08094848692417145, 0.14393705129623413, -0.07291466742753983, 0.2947704792022705, -0.06871639937162399, 0.017731020227074623, 0.44160500168800354, -0.41189226508140564, 0.7473781108856201, -0.07265250384807587, -0.22576260566711426, 0.38315102458000183, 0.05069319158792496, -0.09504371881484985, -0.12874452769756317, -0.1513167917728424, 0.07775687426328659, 0.3538631200790405, 0.44043922424316406, -0.11970850080251694, -0.14360865950584412, 0.2770906090736389, 0.33428868651390076, -0.10187825560569763, 0.08918024599552155]",2,5,-1,2
assemble,"[0.523076057434082, -0.2092675268650055, -0.6305710077285767, 0.13207033276557922, 0.15111705660820007, 0.249801903963089, 0.02949133887887001, 0.0063520316034555435, -0.1680796593427658, 0.16002219915390015, 0.3519115149974823, 0.001539025455713272, -0.05595669895410538, 0.4096863567829132, -0.09681886434555054, -0.17019283771514893, 0.29014554619789124, -0.47948336601257324, -0.1764300912618637, -0.5174920558929443, 0.22817055881023407, 0.26072850823402405, 0.5282561182975769, 0.09807223826646805, -0.2554301619529724, 0.09570514410734177, -0.4846547245979309, 0.11325713992118835, 0.14606480300426483, 0.13457439839839935, 0.289272665977478, 0.19111767411231995, 0.4967433214187622, -0.19699570536613464, 0.09925419837236404, 0.5250521898269653, -0.06748012453317642, 0.2427983582019806, -0.21334463357925415, -0.3658844232559204, 0.330458402633667, -0.028098437935113907, -0.06572580337524414, 0.2419101893901825, -0.11810173094272614, 0.08796597272157669, 0.2312234491109848, -0.31447091698646545, -0.20460236072540283, -0.012738599441945553, 0.09864047169685364, -0.5195571184158325, -0.15208590030670166, 0.3801756203174591, 0.27899670600891113, -0.4707542657852173, 0.043171580880880356, -0.11674660444259644, -0.0538288839161396, -0.07825612276792526, 0.7320491075515747, 0.5390124917030334, 0.24758058786392212, 0.30191490054130554, -0.026665661484003067, -0.005847490858286619, 0.5015720129013062, -0.4470216631889343, 0.04992980137467384, -0.08137678354978561, -0.27477598190307617, 0.4525443911552429, -0.08265281468629837, 0.48458120226860046, 0.21193814277648926, -0.3215563893318176, -0.13542646169662476, -0.14149260520935059, -0.03409317135810852, 0.06006662920117378, 0.18634042143821716, 0.24254731833934784, -0.37850862741470337, 0.5615494847297668, 0.16640202701091766, -0.6143314242362976, 0.38539350032806396, -0.21608710289001465, -0.11522975564002991, -0.06790792942047119, 0.24257060885429382, 0.05664833262562752, 0.0702170580625534, 0.25734943151474, 0.47162652015686035, -0.2486131340265274, 0.3731434941291809, 0.19667205214500427, -0.13630932569503784, 0.02844512276351452]",2,7,-1,2
bake,"[0.2122391164302826, -0.25547653436660767, -0.40593454241752625, 0.5678229331970215, -0.3420872390270233, 0.0988452360033989, 0.18938246369361877, 0.4158608019351959, 0.43524691462516785, -0.618658185005188, -0.32615169882774353, -0.12741856276988983, 0.6911987662315369, -0.14592057466506958, -0.024693196639418602, -0.5805411338806152, 0.29607176780700684, -0.5705305933952332, 0.28200992941856384, -0.24927861988544464, 0.11112052202224731, -0.045699670910835266, -0.3083352744579315, 0.31282123923301697, 1.0926647186279297, 0.12469282746315002, -0.5506941080093384, -0.06692098826169968, 0.03414339944720268, 0.19087384641170502, -0.10239910334348679, -0.03608711436390877, 0.07782868295907974, 0.17985829710960388, 0.003448394127190113, 0.31195375323295593, -0.40964508056640625, 0.445904940366745, 0.11767787486314774, -0.3090711534023285, -0.36708304286003113, -0.581635057926178, -0.34818264842033386, 0.04567527025938034, -0.012696804478764534, -0.2518792152404785, 0.3393024802207947, 0.16459564864635468, 0.5569958686828613, -0.0002775342727545649, 0.07895553112030029, -0.1930261105298996, -0.4287501871585846, -0.25380754470825195, -0.26751354336738586, 0.24771498143672943, -0.032755110412836075, 0.003132100449874997, -0.14290687441825867, -0.37797263264656067, -0.4532436728477478, -0.088984414935112, 0.19930320978164673, 0.5919687151908875, -0.013740199618041515, -0.06736458837985992, 0.18452230095863342, 0.3426787555217743, -0.4275200366973877, 0.20854319632053375, 0.20551486313343048, 0.16430947184562683, 0.6320762038230896, -0.21271024644374847, 0.2593861222267151, -0.11656983196735382, 0.04565014690160751, 0.09980933368206024, 0.24908119440078735, -0.6432464718818665, 0.4290306866168976, -0.5083974599838257, -0.3341309726238251, 0.4781656861305237, 0.16297517716884613, 0.1008186787366867, 0.1951008439064026, 0.2641052007675171, -0.022432073950767517, -0.4427187740802765, 0.4520649015903473, 0.8042505383491516, 0.5089685916900635, 0.4503917396068573, 0.6438258290290833, 0.029261389747262, 0.1208672970533371, 0.45833972096443176, -0.45926275849342346, 0.05621521547436714]",2,3,-1,2
barbecue,"[-0.49610695242881775, -0.34373313188552856, -0.2920089066028595, -0.00787846278399229, 0.07940593361854553, -0.18119224905967712, -0.11223097145557404, 0.08308928459882736, 0.05725416541099548, -0.3451228141784668, 0.42745494842529297, -0.26210880279541016, 0.8705306053161621, 0.06760720163583755, -0.6830893754959106, -0.016930021345615387, 0.039683762937784195, -0.26100578904151917, 0.1833113580942154, -0.37342017889022827, 0.1660025417804718, 0.22307592630386353, 0.10845708101987839, 0.017048701643943787, -0.06854119151830673, 0.3356606960296631, -0.9416329860687256, -0.2461846023797989, 0.031245501711964607, 0.19457285106182098, -0.15411894023418427, -0.07433958351612091, -0.042232248932123184, -0.2749501168727875, 0.011276241391897202, 0.02422254905104637, -0.2000352293252945, 0.6889578700065613, 0.4955512285232544, -0.6498258709907532, 0.13489536941051483, -0.7282534241676331, -0.09616094827651978, -0.0443391278386116, 0.4056137800216675, 0.13990744948387146, -0.29673194885253906, -0.30531346797943115, 0.3116230368614197, -0.2388119250535965, 0.43009382486343384, -0.425991028547287, 0.8040316104888916, -0.24526752531528473, 0.3979892134666443, 0.14122718572616577, -0.22349388897418976, 0.8076977133750916, -0.09907268732786179, -0.11830306798219681, 0.35495737195014954, -0.06106436997652054, 0.07590572535991669, -0.14847876131534576, 0.043242085725069046, -0.21882210671901703, -0.016324717551469803, -0.23185613751411438, -0.14755238592624664, 0.008720631711184978, 0.17139066755771637, 0.18903248012065887, 0.12273862957954407, 0.5428009033203125, 0.21602842211723328, -0.2914286255836487, -0.12035706639289856, 0.08567515015602112, -0.19504424929618835, 0.18589790165424347, -0.022735198959708214, 0.546222448348999, -0.29265642166137695, 1.2322090864181519, -0.1475394070148468, -0.3014480173587799, -0.34552904963493347, 0.3706086575984955, 0.13246764242649078, 0.0670739933848381, -0.04992411658167839, 0.050995126366615295, -0.08720269799232483, 0.9440926313400269, -0.08823182433843613, -0.26193884015083313, -0.31589484214782715, 0.3860011696815491, 0.18841922283172607, 0.6092758178710938]",4,3,-1,4
baste,"[-0.4006302058696747, 0.15160974860191345, -0.056680452078580856, 0.4800436794757843, -0.18824617564678192, -0.32835742831230164, -0.34332218766212463, 0.06114417314529419, -0.089958056807518, -0.8579837679862976, 0.19141755998134613, 0.1629018634557724, 0.8983597755432129, 0.4239930212497711, -0.595242977142334, -0.4970656931400299, 0.4911644756793976, -0.01853781007230282, 0.14176248013973236, -0.7289739847183228, 0.17257626354694366, 0.17301101982593536, -0.3071127235889435, -0.5972755551338196, 0.11368689686059952, 0.2809329926967621, -1.0560667514801025, -0.0340324267745018, -0.5820931196212769, 0.2937449514865875, -0.3671359121799469, -0.3134564757347107, 0.0907587856054306, -0.15985794365406036, -0.11317023634910583, 0.15650595724582672, -0.0005546416505239904, 0.12602955102920532, -0.14521323144435883, -0.6609928607940674, -0.4016478657722473, -0.4514613151550293, 0.2476634532213211, -0.5501810908317566, 0.3450968265533447, 0.45885738730430603, 0.21258752048015594, -0.15840445458889008, -0.0036696032620966434, -0.03511641547083855, 0.1572800576686859, 0.15844501554965973, -0.1332111656665802, -0.32781967520713806, 0.20552606880664825, 0.43055492639541626, -0.39257946610450745, 1.13323175907135, -0.41432201862335205, -0.06250575184822083, -0.36107194423675537, -0.18563807010650635, 0.13295643031597137, -0.18675781786441803, -0.6455885171890259, -0.8417867422103882, 0.1857842355966568, -0.1160837858915329, -0.6496922969818115, -0.21547847986221313, -0.243346706032753, -0.24439089000225067, 0.20021754503250122, 0.6430058479309082, -0.04316430538892746, -0.41060614585876465, -0.05386172607541084, -0.3472186028957367, 0.04650513455271721, -0.044913291931152344, 0.2903654873371124, 0.23060517013072968, -0.18364115059375763, 0.6415655612945557, 0.21936050057411194, -0.1054062768816948, -0.4902806878089905, 0.5634039640426636, 0.3394000828266144, 0.19460497796535492, 0.07401429116725922, 0.36172035336494446, -0.08483363687992096, 0.7045952081680298, -0.2694690525531769, 0.008705115877091885, 0.2403291016817093, 0.6138522028923035, -0.15722855925559998, 0.3278643786907196]",4,3,-1,4
beat,"[-0.20959854125976562, -0.14933037757873535, -0.005519786383956671, 0.4832943379878998, 0.44835126399993896, 0.17555981874465942, -0.06529273092746735, 0.18231457471847534, -0.3240911364555359, 0.24100981652736664, -0.14817072451114655, 0.04752936586737633, 0.16179974377155304, -0.4933147430419922, 0.101850725710392, 0.19266396760940552, -0.5202124714851379, -0.31254905462265015, -0.29326432943344116, -0.4206831753253937, 0.016596242785453796, 0.5390700697898865, 0.12128079682588577, -0.08907885104417801, 0.45829135179519653, 0.018759457394480705, 0.0789305791258812, 0.14390717446804047, -0.18489320576190948, 0.026314757764339447, 0.4587858021259308, -0.03290646895766258, 0.7921441793441772, 0.38469427824020386, 0.18228895962238312, 0.2876303195953369, 0.20855513215065002, 0.09685027599334717, -0.11644594371318817, 0.4288063049316406, -0.5938503742218018, -0.06386551260948181, 0.2972889542579651, 0.47710883617401123, -0.3830997049808502, -0.047728534787893295, 0.03129911795258522, -0.22963257133960724, 0.32071298360824585, 0.28250107169151306, 0.17091628909111023, -0.27759161591529846, -0.10820813477039337, -0.016186004504561424, 0.2194034457206726, 0.21228903532028198, -0.3530387580394745, 0.5688257813453674, -0.4667541980743408, -0.49939456582069397, 0.31661567091941833, -0.004237596411257982, -0.06807658821344376, 0.44504767656326294, 0.11178785562515259, -0.2183082401752472, 0.7976635694503784, -0.1073341891169548, -0.014169121161103249, 0.52236407995224, -0.20020651817321777, 0.48356640338897705, 0.7929956316947937, 0.37034255266189575, 0.291083425283432, 0.12786439061164856, -0.17421947419643402, -0.12247056514024734, -0.06296131014823914, 0.2272389531135559, 0.022058574482798576, 0.1642538607120514, -0.8458160161972046, 0.04647243767976761, 0.5636135935783386, 0.14955148100852966, 0.2871590554714203, 0.3618590235710144, -0.3442661464214325, -0.8750125169754028, -0.010122586973011494, 0.5725629925727844, 0.3559286892414093, 0.6538375616073608, 0.053458329290151596, 0.2001035362482071, 0.09170785546302795, 0.2873370051383972, 0.19969668984413147, 0.0037666859570890665]",7,2,-1,7
blanch,"[0.127309650182724, 0.44394105672836304, -0.6931394934654236, 0.15259504318237305, 0.5315907001495361, 0.15369237959384918, 0.4677525460720062, -0.07396583259105682, 0.2322309911251068, -0.3561720848083496, 0.16005583107471466, -0.36329758167266846, 0.02876860834658146, 0.34218958020210266, 0.7514965534210205, 0.1515118032693863, 0.11074452847242355, -0.4045277535915375, -0.3567768633365631, -0.04518810287117958, -0.21035833656787872, 0.4205446243286133, -0.2239743322134018, 0.24870231747627258, 0.05544767901301384, 0.36523157358169556, -0.2660464644432068, 0.1530054211616516, -0.14360080659389496, -0.06394355744123459, 0.294092059135437, -0.8288986682891846, 0.774058997631073, -0.14000748097896576, 0.4233599007129669, -0.26488256454467773, -0.511948823928833, 0.18256635963916779, -0.35577091574668884, -0.14600563049316406, -0.21358191967010498, 0.06897015124559402, 0.12945014238357544, 0.41327574849128723, 0.06922343373298645, 0.1973128318786621, 0.3134731352329254, 0.47099804878234863, -0.3826235830783844, 0.43685880303382874, 0.5448020696640015, 0.02989169955253601, 0.13641755282878876, 0.5386722087860107, -0.035212442278862, 0.0032995580695569515, 0.7076777219772339, -0.5110986232757568, -0.4656519889831543, 0.14294637739658356, 0.26051878929138184, 0.9656916260719299, 0.6873417496681213, 0.16418136656284332, -0.2454846203327179, 0.7719301581382751, 0.2539249360561371, -0.14955683052539825, -0.2033555656671524, 0.6791043877601624, 0.16856935620307922, 0.33306580781936646, 0.25547218322753906, 0.4271944463253021, 0.08546539396047592, -0.010557827539741993, -0.17529743909835815, -0.21744360029697418, -0.6309454441070557, -0.4852655529975891, -0.37077686190605164, -0.08352550864219666, -0.26863008737564087, 0.3264981210231781, 0.6307681202888489, -0.05595145374536514, -0.6253129839897156, 0.29362809658050537, -0.09687724709510803, -0.25130295753479004, -0.3002273440361023, 0.4241386651992798, -0.3009259104728699, -0.0953368991613388, 0.18032504618167877, 0.22331847250461578, 0.16639591753482819, -0.13416120409965515, -0.31032314896583557, 0.5076242089271545]",5,1,-1,5
blend,"[-0.42337286472320557, 0.42887774109840393, -0.3249797821044922, 0.27312472462654114, 0.1836075782775879, 0.18936887383460999, 0.12609392404556274, -0.09789276123046875, -0.18441535532474518, 0.2750198543071747, 0.19744832813739777, -0.05973030999302864, 0.4445488750934601, 0.12499348074197769, -0.4537890553474426, 0.11220020055770874, -0.02150627039372921, 0.28104642033576965, -0.1840500384569168, -0.6927099823951721, 0.426782488822937, 0.5927727222442627, 0.002045299857854843, 0.2150253802537918, 0.08826211839914322, 0.024042867124080658, 0.01883433386683464, 0.030927827581763268, 0.23866412043571472, 0.08050357550382614, 0.18088920414447784, -0.3406732976436615, 0.3519640266895294, 0.03174975886940956, -0.10875990986824036, 0.3213884234428406, 0.411896675825119, 0.07816016674041748, 0.2016880214214325, 0.1279628872871399, -0.04033495858311653, 0.2452424019575119, 0.030712174251675606, 0.41603192687034607, -0.42059949040412903, 0.13854220509529114, -0.18316321074962616, -0.03618341311812401, 0.18689969182014465, 0.12880225479602814, 0.4506075978279114, -0.37807080149650574, -0.327452689409256, -0.0024553919211030006, -0.12663891911506653, 0.44206950068473816, -0.04691852256655693, -0.2866113483905792, -0.26251837611198425, -0.09918342530727386, 0.3409974277019501, 0.01460444089025259, 0.21999597549438477, 0.3478398621082306, -0.33386605978012085, -0.3243585526943207, 0.15175803005695343, 0.15779705345630646, 0.014989125542342663, 0.22773365676403046, -0.04278336092829704, 0.02269832044839859, 0.13905993103981018, -0.10757450759410858, -0.25919491052627563, -0.349170982837677, -0.11938072741031647, 0.08327371627092361, -0.27078312635421753, 0.12930049002170563, -0.3599999248981476, -0.14061464369297028, -0.5996618866920471, -0.13707409799098969, 0.24949578940868378, -0.12140871584415436, -0.08191114664077759, 0.05818672850728035, 0.20830735564231873, -0.5741316676139832, 0.02741609327495098, 0.3555610477924347, 0.3233279585838318, 0.473129004240036, -0.14672565460205078, -0.009747435338795185, 0.2126402109861374, 0.16530700027942657, -0.28332483768463135, 0.26724860072135925]",7,2,-1,7
